4651
b0305	b0305	protein_coding
b0306	b0306	protein_coding
b0307	b0307	protein_coding
b0308	b0308	protein_coding
b0310	b0310	protein_coding
b0311	b0311	protein_coding
b0312	b0312	protein_coding
b0313	b0313	protein_coding
b0314	b0314	protein_coding
b4730	b4730	protein_coding
b0315	b0315	protein_coding
b0316	b0316	protein_coding
b0317	b0317	protein_coding
b0318	b0318	protein_coding
b0319	b0319	protein_coding
b0320	b0320	protein_coding
b0321	b0321	protein_coding
b0322	b0322	protein_coding
b0323	b0323	protein_coding
b0324	b0324	protein_coding
b0325	b0325	protein_coding
b0326	b0326	protein_coding
b4845	b4845	protein_coding
b0327	b0327	protein_coding
b0328	b0328	protein_coding
b0329	b0329	protein_coding
b0330	b0330	protein_coding
b0331	b0331	protein_coding
b0333	b0333	protein_coding
b0334	b0334	protein_coding
b0335	b0335	protein_coding
b0336	b0336	protein_coding
b0337	b0337	protein_coding
b0338	b0338	protein_coding
b0339	b0339	protein_coding
b0340	b0340	protein_coding
b0341	b0341	protein_coding
b0342	b0342	protein_coding
b0343	b0343	protein_coding
b0344	b0344	protein_coding
b0345	b0345	protein_coding
b0346	b0346	protein_coding
b0347	b0347	protein_coding
b0348	b0348	protein_coding
b0349	b0349	protein_coding
b0350	b0350	protein_coding
b0351	b0351	protein_coding
b0352	b0352	protein_coding
b0353	b0353	protein_coding
b0354	b0354	protein_coding
b0355	b0355	protein_coding
b0356	b0356	protein_coding
b0357	b0357	protein_coding
b0358	b0358	protein_coding
b4579	b4579	pseudogene
b0360	b0360	protein_coding
b0361	b0361	protein_coding
b0363	b0363	protein_coding
b4731	b4731	protein_coding
b0364	b0364	protein_coding
b0365	b0365	protein_coding
b0366	b0366	protein_coding
b0367	b0367	protein_coding
b0368	b0368	protein_coding
b0369	b0369	protein_coding
b4580	b4580	pseudogene
b4767	b4767	protein_coding
b0372	b0372	protein_coding
b0373	b0373	protein_coding
b0375	b0375	protein_coding
b0376	b0376	protein_coding
b0377	b0377	protein_coding
b0378	b0378	protein_coding
b0379	b0379	protein_coding
b0380	b0380	protein_coding
b0381	b0381	protein_coding
b0382	b0382	protein_coding
b0383	b0383	protein_coding
b0384	b0384	protein_coding
b0385	b0385	protein_coding
b0386	b0386	protein_coding
b0387	b0387	protein_coding
b0388	b0388	protein_coding
b0389	b0389	protein_coding
b0390	b0390	protein_coding
b0391	b0391	protein_coding
b0392	b0392	pseudogene
b4732	b4732	protein_coding
b0393	b0393	protein_coding
b0394	b0394	protein_coding
b0396	b0396	protein_coding
b0397	b0397	protein_coding
b0398	b0398	protein_coding
b0399	b0399	protein_coding
b0400	b0400	protein_coding
b0401	b0401	protein_coding
b0402	b0402	protein_coding
b0403	b0403	protein_coding
b0404	b0404	protein_coding
b0405	b0405	protein_coding
b0406	b0406	protein_coding
b0407	b0407	protein_coding
b0408	b0408	protein_coding
b0409	b0409	protein_coding
b0410	b0410	protein_coding
b0411	b0411	protein_coding
b0412	b0412	protein_coding
b0413	b0413	protein_coding
b0414	b0414	protein_coding
b0415	b0415	protein_coding
b0416	b0416	protein_coding
b0417	b0417	protein_coding
b0418	b0418	protein_coding
b0419	b0419	protein_coding
b0420	b0420	protein_coding
b0421	b0421	protein_coding
b0422	b0422	protein_coding
b0423	b0423	protein_coding
b0424	b0424	protein_coding
b0425	b0425	protein_coding
b0426	b0426	protein_coding
b0427	b0427	protein_coding
b0428	b0428	protein_coding
b0429	b0429	protein_coding
b0430	b0430	protein_coding
b0431	b0431	protein_coding
b0432	b0432	protein_coding
b0433	b0433	protein_coding
b0434	b0434	protein_coding
b0435	b0435	protein_coding
b0436	b0436	protein_coding
b0437	b0437	protein_coding
b0438	b0438	protein_coding
b0439	b0439	protein_coding
b0440	b0440	protein_coding
b0441	b0441	protein_coding
b0442	b0442	protein_coding
b0443	b0443	protein_coding
b0444	b0444	protein_coding
b0445	b0445	protein_coding
b0446	b0446	protein_coding
b0447	b0447	protein_coding
b0448	b0448	protein_coding
b0449	b0449	protein_coding
b0450	b0450	protein_coding
